ID,DeclinedWord,CaseIndex,DeclinedWordID
2669589,Теперь Дозорные Времени,6,386071
2671797,Теперь Обсидиановые Хранители,6,386439
2673783,Теперь Темные Когти,6,386770
2680122,Теперь воины стихий,6,387807
2684250,Теперь джарадины,6,388477
2685384,Теперь в Драконьей экспедиции,6,388658
2685390,Теперь в Драконьей экспедиции (идеал),6,388659
2689639,искарских клыкарров,1,389350
2689640,искарским клыкаррам,2,389350
2689641,искарских клыкарров,3,389350
2689642,искарскими клыкаррами,4,389350
2689643,искарских клыкаррах,5,389350
2689644,Теперь искарские клыкарры,6,389350
2689645,искарских клыкарров (идеал),1,389351
2689646,искарским клыкаррам (идеал),2,389351
2689647,искарских клыкарров (идеал),3,389351
2689648,искарскими клыкаррами (идеал),4,389351
2689649,искарских клыкаррах (идеал),5,389351
2689650,Теперь искарские клыкарры (идеал),6,389351
2689651,искарских клыкарров (известность),1,389352
2689652,искарским клыкаррам (известность),2,389352
2689653,искарских клыкарров (известность),3,389352
2689654,искарскими клыкаррами (известность),4,389352
2689655,искарских клыкаррах (известность),5,389352
2689656,искарские клыкарры (известность),6,389352
2691022,кентавров Маруук,1,389579
2691023,кентаврам Маруук,2,389579
2691024,кентавров Маруук,3,389579
2691025,кентаврами Маруук,4,389579
2691026,кентаврах Маруук,5,389579
2691027,Теперь кентавры Маруук,6,389579
2691028,кентавров Маруук (идеал),1,389580
2691029,кентаврам Маруук (идеал),2,389580
2691030,кентавров Маруук (идеал),3,389580
2691031,кентаврами Маруук (идеал),4,389580
2691032,кентаврах Маруук (идеал),5,389580
2691033,Теперь кентавры Маруук (идеал),6,389580
2691034,кентавров Маруук (известность),1,389581
2691035,кентаврам Маруук (известность),2,389581
2691036,кентавров Маруук (известность),3,389581
2691037,кентаврами Маруук (известность),4,389581
2691038,кентаврах Маруук (известность),5,389581
2691039,кентавры Маруук (известность),6,389581
2691243,Теперь в клане Айлааг,6,389615
2691249,Теперь клан Кейган,6,389616
2691250,клана Нокхуд (идеал),1,389617
2691251,клану Нокхуд (идеал),2,389617
2691252,клан Нокхуд (идеал),3,389617
2691253,кланом Нокхуд (идеал),4,389617
2691254,клане Нокхуд (идеал),5,389617
2691255,Теперь в клане Нокхуд (идеал),6,389617
2691261,Теперь в клане Нокхуд,6,389618
2691267,Теперь в клане Он'ир,6,389619
2691273,Теперь в клане Тирай,6,389620
2691279,Теперь в клане Тирай,6,389621
2691285,Теперь в клане Тогус,6,389622
2691291,Теперь в клане Укхел,6,389623
2691297,Теперь в клане Шикаар,6,389624
2691678,Теперь в Кобальтовой ассамблее,6,389686
2692092,Теперь Консорциум ремесленников – филиал на Драконьих островах,6,389752
2704735,пробудителя,1,391810
2704736,пробудителю,2,391810
2704737,пробудителя,3,391810
2704738,пробудителем,4,391810
2704739,пробудителе,5,391810
2704740,пробудитель,6,391810
2704759,пробудительницы,1,391814
2704760,пробудительнице,2,391814
2704761,пробудительницу,3,391814
2704762,пробудительницей,4,391814
2704763,пробудительнице,5,391814
2704764,пробудительница,6,391814
2710636,союза Вальдраккена,1,392769
2710637,союзу Вальдраккена,2,392769
2710638,союз Вальдраккена,3,392769
2710639,союзом Вальдраккена,4,392769
2710640,союзе Вальдраккена,5,392769
2710641,Теперь в союзе Вальдраккена,6,392769
2710642,союза Вальдраккена (идеал),1,392770
2710643,союзу Вальдраккена (идеал),2,392770
2710644,союз Вальдраккена (идеал),3,392770
2710645,союзом Вальдраккена (идеал),4,392770
2710646,союзе Вальдраккена (идеал),5,392770
2710647,Теперь в союзе Вальдраккена (идеал),6,392770
2710648,союза Вальдраккена (известность),1,392771
2710649,союзу Вальдраккена (известность),2,392771
2710650,союз Вальдраккена (известность),3,392771
2710651,союзом Вальдраккена (известность),4,392771
2710652,союзе Вальдраккена (известность),5,392771
2710653,союз Вальдраккена (известность),6,392771
2715692,Теперь фурболги из клана Зимней Шкуры,6,393595
2718287,Теперь элементали земли,6,394019
2718293,Теперь элементали огня,6,394020
2719074,воинов стихий,7,387807
2719075,Гневиона,7,44989
2719076,джарадинов,7,388477
2719077,Дозорных Времени,7,386071
2719078,Драконьей экспедиции,7,388658
2719079,Драконьей экспедиции (идеал),7,388659
2719080,драктиры,7,388661
2719081,драктиров,8,388661
2719082,драктирами,10,388661
2719083,искарских клыкарров,7,389350
2719084,искарских клыкарров (идеал),7,389351
2719085,кентавров Маруук,7,389579
2719086,кентавров Маруук (идеал),7,389580
2719087,клана Айлааг,7,389615
2719088,клана Кейган,7,389616
2719089,клана Нокхуд (идеал),7,389617
2719090,клана Нокхуд,7,389618
2719091,клана Он'ир,7,389619
2719092,клана Тирай,7,389620
2719093,клана Тирай,7,389621
2719094,клана Тогус,7,389622
2719095,клана Укхел,7,389623
2719096,клана Шикаар,7,389624
2719097,Кобальтовой ассамблеи,7,389686
2719098,Консорциума ремесленников – филиала на Драконьих островах,7,389752
2719099,Обсидиановых Хранителей,7,386439
2719100,пробудители,7,391810
2719101,пробудителей,8,391810
2719102,пробудителей,9,391810
2719103,пробудительницы,7,391814
2719104,пробудительниц,8,391814
2719105,пробудителей,9,391814
2719106,Расхитителей,7,392132
2719107,Сабеллиана,7,12278
2719108,союза Вальдраккена,7,392769
2719109,союза Вальдраккена (идеал),7,392770
2719110,Темных Когтей,7,386770
2719111,фурболгов из клана Зимней Шкуры,7,393595
2719112,элементалей земли,7,394019
2719113,элементалей огня,7,394020
2719114,драктира,1,394151
2719115,драктиру,2,394151
2719116,драктира,3,394151
2719117,драктиром,4,394151
2719118,драктире,5,394151
2719119,драктир,6,394151
2719120,драктиры,7,394151
2719121,драктиров,8,394151
2719122,драктирами,10,394151
2719123,пробудителя,1,394152
2719124,пробудителю,2,394152
2719125,пробудителя,3,394152
2719126,пробудителем,4,394152
2719127,пробудителе,5,394152
2719128,пробудитель,6,394152
2719129,пробудители,7,394152
2719130,пробудителей,8,394152
2719131,пробудительницы,1,394153
2719132,пробудительнице,2,394153
2719133,пробудительницу,3,394153
2719134,пробудительницей,4,394153
2719135,пробудительнице,5,394153
2719136,пробудительница,6,394153
2719137,пробудительницы,7,394153
2719138,пробудительниц,8,394153
