ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount
Complete 30 Quests,,3,135693,200
Defeat 50 Dungeon Bosses,Defeat dungeon bosses that grant experience.,4,135695,200
Complete 5 Mythic+ Dungeons,,6,135699,200
Complete 15 World Quests,,7,136176,150
Kill 10 Dragonflight Raid Bosses,,8,136202,200
Earn 7500 Honor,,10,136220,200
Win 5 Battlegrounds,,11,136222,200
Win 10 Non-Skirmish Arena Matches,,12,136224,200
Fulfill Crafting Orders,Speak to a Crafting Orders Clerk in Valdrakken's Artisan's Market to access Crafting Orders.,13,136242,200
Win 15 Pet Battles,,14,136244,200
Defeat 25 Dungeon Bosses in a Cross-Faction Group,Defeat dungeon bosses that grant experience.,16,136248,150
Defeat Dragon Isles Master Tamers With Dragonkin Pets,Defeat 2 Dragon Isles Master Tamers with a lineup of at least 2 Dragonkin pets,40,137543,200
Use Happy Pet Snacks,Happy Pet Snacks can be purchased at the Pet Supply vendor in Dalaran.,42,137615,100
Love is in the Air: Use Peddlefeet's Hearthstone in the Dragon Isles,From 2/6 - 2/20 use Peddlefeet's Hearthstone in the Dragon Isles.,43,137617,150
Love is in the Air: Have a Romantic Picnic in the Ohn'ahran Plains,From 2/6 - 2/20 use a Romantic Picnic Basket in the Ohn'ahran Plains.,44,137619,150
"Love is in the Air: Complete ""Bonbon Blitz""","From 2/6 - 2/20 complete the quest ""Bonbon Blitz.""",45,137621,150
Love is in the Air: Kill Apothecary Hummel,From 2/6 - 2/20 kill Apothecary Hummel in Shadowfang Keep.,46,137623,150
Love is in the Air: Present a Lovely Charm Bracelet,From 2/6 - 2/20 present a Lovely Charm Bracelet to one of your faction leaders.,47,137625,150
/hug A Dead Player,Emote /hug a dead player.,48,137634,50
Resurrect Players,,49,137636,50
Imbibe Zanzil's Slow Poison,,50,137645,50
"Earn 5,000 gold from auctions in the Auction House",,52,137647,100
"Eat a Chocolate Cake Slice, Lovely Cake Slice, and Berry Pie Slice",,53,137651,50
Hatching of the Hippogryphs: Get a Hatchling to Perch on You,On 2/23 get a Frayfeather Hatchling to perch on your shoulder.,54,137655,150
Hatching of the Hippogryphs: Obtain and use a Spectral Feather,On 2/23 obtain and use a Spectral Feather.,55,137657,150
Darkmoon Faire: Set Out a Big Berry Pie,From 2/5 - 2/11 set out a Big Berry Pie at the Darkmoon Faire Island.,56,137659,50
Earn Reputation Throughout the Dragon Isles,,79,137872,150
Complete 15 Mythic+ Dungeons,,81,140979,200
Complete Grand Hunts with the Maruuk Centaur,Complete Grand Hunts from start to finish on the Dragon Isles.,82,140981,150
Harpoon a Fish with a Friend,"In the Dragon Isles, use a harpoon with another player to catch a fish.",83,140983,50
Participate in the Tuskarr Community Feast,Complete tasks at the Community Feast in Iskaara on the Dragon Isles.,84,140985,50
Complete the Siege on Dragonbane Keep,"On the Dragon Isles, complete the scenario Siege on Dragonbane Keep in the Waking Shores.",85,140987,50
Use the Buddy System While Climbing,Use the Buddy System during climbing World Quests on the Dragon Isles.,86,140989,50
Defeat Special Creatures During Primalist Storms,Special creatures will appear during Primalist Storm events throughout the Dragon Isles.,87,140991,100
Complete Group Dragon Riding Races,Speak to a Bronze Timekeeper on the Dragon Isles to participate in a group race.,88,141010,150
Complete a PvP World Quest in the Dragon Isles,,89,141012,100
Defeat a Dragon Isles World Boss,,90,141021,100
Complete the Optional Waking Shores Storylines,,91,141032,200
Complete Weekly Gathering Quests,Weekly profession quests can be obtained within the Artisan's Market in Valdrakken.,92,141044,100
Loot War Supply Chests in the Dragon Isles,,94,141095,100
Fish Up Items in the Dragon Isles,,95,141125,100
Show Some Love to the Dragon Aspects,Emote /love at the Dragon Aspects in Valdrakken.,96,141883,50
Show Some Love to Fallen Dragons,Emote /love at 2 of the specified fallen dragons inside of their raids.,97,141887,50
Show Some Love to the Trading Post,Emote /love at the Trading Post merchants and their wares.,144,142268,50
Defeat 25 Raid Bosses,,145,142290,250
Harpoon a Lunker with 5 Friends,"In the Dragon Isles, use a harpoon with 5 other players to catch a lunker.",146,142297,50
Fulfill Public Crafting Orders,Speak to a Crafting Orders Clerk in Valdrakken's Artisan's Market to access Crafting Orders.,147,142299,100
Trial of Style: Learn the Trader's Bicorne transmog,From 3/20 - 3/24 participate in the Trial of Style to learn the Trader's Bicorne transmog.,74,137807,50
