ID,PerksVendorCategoryID,Field_10_0_5_47118_002,ItemID,Field_10_0_5_47118_004,Field_10_0_5_47118_005,Cost,UiModelSceneID
6,1,0,189871,0,0,100,625
7,8,0,189938,10,0,850,0
8,1,0,189898,10,0,750,624
9,1,0,189897,0,0,250,583
24,1,0,189882,0,0,175,0
35,1,0,190097,0,0,50,642
39,1,0,190092,9,0,225,625
60,1,0,190071,0,0,200,613
66,1,0,190065,0,0,75,584
68,1,0,190063,0,0,50,583
74,2,0,190231,10,112054,999,550
76,1,0,190599,0,0,250,583
78,1,0,190600,9,0,225,625
90,1,0,190155,10,0,750,583
91,8,0,190166,0,0,100,0
92,8,0,190377,0,0,100,0
110,1,0,190143,0,0,200,624
114,8,0,190799,10,0,650,642
121,8,0,190504,10,0,999,0
204,8,0,200884,10,0,750,0
223,2,0,54811,10,0,900,633
224,3,0,190607,10,0,750,640
225,1,0,190846,10,0,500,634
227,1,0,190434,0,0,75,583
228,1,0,190855,0,0,100,588
229,1,0,190856,0,0,100,584
230,8,0,202167,0,0,100,0
231,8,0,202170,10,0,100,0
232,1,0,190876,0,0,250,626
233,3,0,49665,10,0,650,0
268,1,0,202248,0,0,400,624
10,1,0,189896,9,0,100,584
11,1,0,189895,9,0,100,584
