ID,FiltRaces,QuestTitle_lang,BulletText_lang,UniqueBitFlag,ConditionID,FiltActiveQuest,FiltClasses,FiltCompletedQuestLogic,FiltMaxFactionID,FiltMaxFactionValue,FiltMinFactionID,FiltMinFactionValue,FiltMinSkillID,FiltMinSkillValue,FiltNonActiveQuest,BreadCrumbID,StartItem,WorldStateExpressionID,QuestInfoID,ContentTuningID,CovenantID,Field_9_0_2_36206_022,Flags[0],Flags[1],Flags[2],FiltCompletedQuest[0],FiltCompletedQuest[1],FiltCompletedQuest[2]
31697,-1,Jeremy's Test Quest,,22887,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,109,798,0,3,3735552,131072,0,0,0,0
33145,-6184943489809468494,Grimfrost Hill,,15222,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,3,34144256,8192,0,0,0,0
34076,6130900294268439629,The Burial Fields,,15961,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3,34144256,0,0,0,0,0
34496,6130900294268439629,The Hills of Valuun,,16321,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3,34144256,0,0,0,0,0
34501,-6184943489809468494,Frostbite Hollow,,16326,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,3,38338560,8192,0,0,0,0
34504,6130900294268439629,Bloodthorn Cave,,16329,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3,37289984,0,0,0,0,0
34505,-6184943489809468494,Forbidden Glacier,,16330,28902,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,3,34144256,0,0,0,0,0
34639,-1,Aruuna's Desolation,,16398,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,589824,0,0,0,0,0
34660,-1,Zorkra's Fall,,16417,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,34144256,0,0,0,0,0
34667,-1,Court of Souls,,16424,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,34144256,0,0,0,0,0
34723,-1,Ironfist Harbor,,16470,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,3,34144256,0,0,0,0,0
34724,-1,The Forgotten Caves,,18083,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,65,0,3,34144256,0,0,0,0,0
34726,-1,Vignette: Pale Spider Broodmother,,18084,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33555464,0,0,0,0,0
34728,6130900294268439629,The Shimmer Moor,,16472,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3,34144256,0,0,0,0,0
35236,6130900294268439629,Orunai Coast,,16836,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,34144256,0,0,0,0,0
35237,-6184943489809468494,Mor'gran Logworks,,16837,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,34144256,0,0,0,0,0
35379,-1,Hemet's Happy Hunting Grounds,,16917,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,3,34144256,0,0,0,0,0
35637,6130900294268439629,Assault on Stonefury Cliffs,,17076,33050,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,816,0,3,41488384,524288,8,0,0,0
35641,-6184943489809468494,Assault on Stonefury Cliffs,,17483,33050,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,816,0,3,41488384,524288,8,0,0,0
35649,-1,The Writhing Mire,,17018,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,3,34144256,0,0,0,0,0
35881,-1,Ruins of the First Bastion,,17125,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,65,0,3,34144256,0,0,0,0,0
35974,6130900294268439629,Assault on Darktide Roost,,17747,32525,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,816,0,3,37294080,524288,8,0,0,0
35977,-6184943489809468494,Assault on Darktide Roost,,17748,32525,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,816,0,3,37294080,524288,8,0,0,0
36069,6130900294268439629,Assault on Skettis,,17851,32526,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,816,0,3,37294080,524288,8,0,0,0
36070,-6184943489809468494,Assault on Skettis,,17852,32526,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,816,0,3,37294080,524288,8,0,0,0
36338,-6184943489809468494,Assault on Shattrath Harbor,,19214,32529,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,816,0,3,37294080,524288,8,0,0,0
